url,昵称,标题,性别,回答数目,关注者,文章,描述
https://www.zhihu.com/people/xiaozai/following,乔豆,一直在努力成为不需要努力也能幸福的人。,男,164,11518,1,
https://www.zhihu.com/people/wang-da-da-36/following,鹿森,设计师/弯/伪直男,男,37,1110,1,
https://www.zhihu.com/people/zhang-yun-wu-48/following,张云舞,抛弃幻想，努力学习,男,538,252,3,
https://www.zhihu.com/people/gundth/following,胧幻剑的圆舞曲,IT爱好者,男,5,1,0,
https://www.zhihu.com/people/arthurdent/following,罗天远,非编剪辑师/Hi-Fi行业人士/汽车爱好者/吉他爱好者/PC DIY爱好者/死宅,男,2162,8319,6,
https://www.zhihu.com/people/coolwriter/following,Coolwriter,码农，数码，鬼畜，汽车,男,369,3886,26,
https://www.zhihu.com/people/yuri-cao/following,草履虫,我不同意你，但我支持你。盖知乎遗风矣,男,398,236,0,
https://www.zhihu.com/people/rstar64/following,Deluxo,私信不看，有事值乎,男,241,492,3,
https://www.zhihu.com/people/ji-yun-qwq/following,霁云QwQ,留学生/cv声优/翻唱/直播,女,14,1313,0,
https://www.zhihu.com/people/HMS-HOOD/following,青空V.Mengsk,月見里青空/@月見里沙織 喵！！大好きww/_(:з」∠❀)_,女,386,3422,15,
https://www.zhihu.com/people/bei-ming-you-yu-32-96/following,Granberia,笔记本区划水，可能不答题了，删过时的答案中,女,45,259,0,
https://www.zhihu.com/people/wang-hao-yu-05-17/following,王浩羽,不要忘记，当初为何出发,男,113,1746,7,
https://www.zhihu.com/people/mo-yu-JGH/following,墨鱼,"帮助笔记本小白。
笔电硬件交流学习：783652646",男,126,9004,20,
https://www.zhihu.com/people/gu-gu-18-46/following,咕咕,,男,2,1113,0,
https://www.zhihu.com/people/lin-peng-xiang-68/following,林鹏翔,学生,男,32,22,0,
https://www.zhihu.com/people/ghost-97-66/following,ghost,,男,217,127,1,
https://www.zhihu.com/people/zhihubanquan/following,知乎版权,专注协助知乎用户版权维权,女,30,12589,23,
https://www.zhihu.com/people/sakura-jin/following,彼岸sakura,IT民工，数码控，轻度游戏宅,女,10,6,0,
https://www.zhihu.com/people/shen-lan-bu-lan-yi-wei-zi-1/following,深蓝不蓝以为紫,硬件/历史 /Q172402701/Q群643079397,男,152,40,0,
https://www.zhihu.com/people/feng-yan-ju-le/following,風岩聚楽,不敢膜了,男,182,180,0,
https://www.zhihu.com/people/czj-27-83/following,Adon,手机行业从事者,男,1,1,0,
https://www.zhihu.com/people/chen-shu-xin-79/following,某bit,科技类？,男,76,89,2,
https://www.zhihu.com/people/xue-xie-duan-zi-de-liu-xing/following,刘醒Pro,,女,,55,0,
https://www.zhihu.com/people/xiamenda/following,减紫,机械/天文/邮币卡,男,142,3560,2,
https://www.zhihu.com/people/mei-zu-care/following,魅族Care,追求源于热爱,男,45,1973,0,
https://www.zhihu.com/people/wbsdty331/following,Antokha Nikitin,二号机，UWP 个人开发者，白帽子见习中，硬件交流群 676925809,男,64,408,1,
https://www.zhihu.com/people/yu-yong-ren-69/following,周天无极,周虽旧邦，其命维新,男,297,209,2,
https://www.zhihu.com/people/Yuuki_Chan/following,绿茶Yuuki,硬件吹水群号：464341056，不拉黑异见者，只拉黑傻逼。无派系人士。,男,122,5551,10,
https://www.zhihu.com/people/chen-yong-xiao-96-82/following,陳武,自由自在，做我去爱,男,372,55,0,
https://www.zhihu.com/people/gu-meng-92-45/following,故梦,,男,,2,0,
https://www.zhihu.com/people/pearvideo/following,鸭梨君P,放弃盲从，停止思考。,男,255,344,20,
https://www.zhihu.com/people/he-peng-cheng-72-38/following,天启,,男,157,26,0,
https://www.zhihu.com/people/chen-jing-song-0804/following,陈劲松,Vista看天下杂志 主笔,男,183,13161,0,
https://www.zhihu.com/people/yu-hong-20-15/following,FISH red,,男,305,82,1,
https://www.zhihu.com/people/ti-tan-_/following,体坛加,体坛周报新闻客户端 （官方微信号：titanjia2016）,男,35,8480,180,
https://www.zhihu.com/people/bizhifei/following,毕志飞,电影人,男,9,1857,6,
https://www.zhihu.com/people/gunter-schoech/following,Gunter Schoech,邵士刚      战略管理咨询公司的创始人和执行董事,男,132,11358,7,
https://www.zhihu.com/people/searl-galan/following,Searl Galan,TRPG，脑洞，伪百合伪娘，单身狗，钓鱼大师，英国留学，尊马讨修，宅左,女,298,4482,55,
https://www.zhihu.com/people/long-ma-22-76/following,龙马,,男,41,11748,0,
https://www.zhihu.com/people/midnight-15/following,midnight,visual artist / senior designer,男,46,5818,14,
https://www.zhihu.com/people/gutiguti/following,金狼古十四,,男,40,135,0,
https://www.zhihu.com/people/nai-bao-de-da-shu/following,奶包的大叔,公众号/知识星球：「真理规划局」,男,8,9140,0,
https://www.zhihu.com/people/zhu-xia-ma-a-hong-75/following,[已重置],,男,,95,0,
https://www.zhihu.com/people/luo-yi-cheng-87-86/following,罗义诚,中国悠悠球第一人，古琴新手,男,41,461,3,
https://www.zhihu.com/people/zhong-daxianer/following,钟大仙儿,live、旧答案、收藏、私信。。。反正不写新的专业答案了。。。,男,952,25590,32,
https://www.zhihu.com/people/qaqca/following,qaqca,盖丁,男,45,4,3,
https://www.zhihu.com/people/jiang-feng-yu-huo-92-67/following,江枫渔火,考完注会，烧书取暖？,男,163,251,0,
https://www.zhihu.com/people/keso/following,keso,洪波 微信公众号：kesoview,男,950,325411,0,
https://www.zhihu.com/people/allenzhang/following,allenzhang,,男,14,71038,0,
https://www.zhihu.com/people/mo-yi-shen/following,默亦深,手机， 电脑爱好者,男,6,2,0,
https://www.zhihu.com/people/zhao-ben-shan-44/following,夜寐太行,长安有贫者，为瑞不宜多,男,991,13905,6,
https://www.zhihu.com/people/webber-49-36/following,Webber,,男,76,79,0,
https://www.zhihu.com/people/lou-bin-8/following,楼斌,ZEALER S 拆解节目主持人,男,1,1086,0,
https://www.zhihu.com/people/zealerlab/following,WHYLAB,用“数据+内容”深度解读科技产品。,男,1,6872,196,
https://www.zhihu.com/people/evenstar/following,楠爷,,男,277,220452,49,
https://www.zhihu.com/people/shuai-qi-de-tie-guo/following,帅气的椰子壳,,男,,4,0,
https://www.zhihu.com/people/lee-allen-78/following,Lee Allen,"ZEALER | It`s not, but it can be.",男,3,641,0,
https://www.zhihu.com/people/laowuweige/following,老五威哥,,男,2,146,0,
https://www.zhihu.com/people/ywq0317/following,王亦大王行,谈笑有鸿儒，往来有白丁...,男,,127,1,
https://www.zhihu.com/people/zealer-16/following,ZEALER,Technology Stays True Here,男,18,7735,3,
https://www.zhihu.com/people/wang-zi-ru/following,王自如,ZEALER | Technology Stays True Here.,男,8,46732,0,
https://www.zhihu.com/people/zhuxiaobao/following,猪小宝,博士僧 | 一级注册结构工程师,男,549,237038,84,
https://www.zhihu.com/people/gejinyuban/following,葛巾,一摘使瓜好，再摘令瓜稀。 三摘尚自可，摘绝抱蔓归。,女,53,653541,16,
https://www.zhihu.com/people/cogito/following,佐藤謙一,禪茶一味,男,29,294751,6,
https://www.zhihu.com/people/ChenZhangyu/following,陈章鱼,公众号「章鱼读书」，帮你成为一个更聪明的读书人。,男,982,559532,151,
https://www.zhihu.com/people/coldair/following,coldair,记者,女,23,82,0,
https://www.zhihu.com/people/max-liang/following,Max LIANG,"Hi,我来了。",男,,724,0,
https://www.zhihu.com/people/yyjz/following,圆圆觉主,CD时间太长,女,3,105,0,
https://www.zhihu.com/people/Jettxoox/following,Jett Lee,,男,,60,0,
https://www.zhihu.com/people/lin-zhi-hao-21/following,林之昊,,男,32,311,0,
https://www.zhihu.com/people/freemem/following,江平,产品经理，黑客,男,104,626,0,
https://www.zhihu.com/people/truant/following,truant,无,男,88,8287,21,
https://www.zhihu.com/people/pilo/following,许维,专注于教育行业投资,男,28,2669,44,
https://www.zhihu.com/people/li-xiang-75/following,李想,汽车之家创始人,男,,7993,0,
https://www.zhihu.com/people/galant/following,戈蓝V,手机行业分析师是也,男,1,492,0,
https://www.zhihu.com/people/zhangyouhe/following,张佑和,,女,5,107,0,
https://www.zhihu.com/people/stoneip/following,Stone IP 石先生,香港科技 KOL,男,5,1254,0,
https://www.zhihu.com/people/jaskni/following,JASKNi,a self-taught designer,男,46,1031,0,
https://www.zhihu.com/people/big_caaat/following,大猫,做信息图的，想找个女朋友，欢迎自荐,男,149,8400,0,
https://www.zhihu.com/people/starose/following,星玫,MorningRocks 公众号撰稿人，热爱宇宙和艺术,女,117,76764,91,
